model,fold,ratio,seed,n_videos,macro_f1,total_frames,agg_f1,inv_f1,allo_f1,stand_f1,agg_fr,inv_fr,allo_fr,stand_fr
ViT-B,1,1.0,-,12,0.64875,211524.0,0.754,0.673,0.499,0.669,23368.0,40431.0,21669.0,6330.0
ViT-B,2,1.0,-,12,0.40075,210426.0,0.332,0.472,0.202,0.597,24852.0,41914.0,21227.0,10138.0
ViT-B,3,1.0,-,12,0.64125,215818.0,0.807,0.686,0.335,0.737,21546.0,44407.0,24070.0,8546.0
ViT-B,1,0.75,42,9,0.6229250000000001,158964.0,0.7569,0.6682,0.3906,0.676,16335.0,30953.0,12663.0,4373.0
ViT-B,1,0.75,123,9,0.63055,160169.0,0.7517,0.6798,0.3743,0.7164,11299.0,36175.0,20490.0,5248.0
ViT-B,1,0.75,999,9,0.62705,156761.0,0.7507,0.6463,0.4583,0.6529,21640.0,27453.0,16648.0,4682.0
ViT-B,2,0.75,42,9,0.39544999999999997,157310.0,0.3285,0.4709,0.2295,0.5529,23612.0,27110.0,13334.0,6660.0
ViT-B,2,0.75,123,9,0.380525,157069.0,0.304,0.5105,0.1636,0.544,19683.0,31779.0,16612.0,7843.0
ViT-B,2,0.75,999,9,0.37565000000000004,158183.0,0.2915,0.4764,0.2166,0.5181,15561.0,35888.0,17907.0,8237.0
ViT-B,3,0.75,42,9,0.6489,161868.0,0.7869,0.6706,0.4042,0.7339,19301.0,30242.0,11275.0,5767.0
ViT-B,3,0.75,123,9,0.622525,163899.0,0.7503,0.6643,0.3495,0.726,14589.0,36971.0,23036.0,6595.0
ViT-B,3,0.75,999,9,0.62655,161055.0,0.7568,0.6564,0.3646,0.7284,19818.0,31429.0,19049.0,6898.0
ViT-B,1,0.5,42,6,0.60075,104941.0,0.6691,0.6324,0.3893,0.7122,8590.0,23527.0,8292.0,3735.0
ViT-B,1,0.5,123,6,0.65325,109305.0,0.7937,0.6812,0.4006,0.7375,7276.0,24176.0,10254.0,4258.0
ViT-B,1,0.5,999,6,0.5829249999999999,102571.0,0.7299,0.612,0.3672,0.6226,17070.0,14521.0,6018.0,2746.0
ViT-B,2,0.5,42,6,0.373225,106903.0,0.3087,0.5019,0.1254,0.5569,19278.0,18206.0,9435.0,4843.0
ViT-B,2,0.5,123,6,0.35957500000000003,103278.0,0.3357,0.4762,0.1085,0.5179,11303.0,21593.0,12128.0,5200.0
ViT-B,2,0.5,999,6,0.363225,105058.0,0.3275,0.5101,0.1048,0.5105,12369.0,22181.0,13428.0,4353.0
ViT-B,3,0.5,42,6,0.578025,108228.0,0.7214,0.6316,0.2087,0.7504,13541.0,21835.0,6874.0,5092.0
ViT-B,3,0.5,123,6,0.65725,109517.0,0.7761,0.6836,0.4274,0.7419,5242.0,26800.0,12969.0,5497.0
ViT-B,3,0.5,999,6,0.56635,107096.0,0.7791,0.6539,0.1193,0.7131,15621.0,18361.0,9668.0,3713.0
ViT-B,1,0.25,42,3,0.41345,50181.0,0.1066,0.5352,0.4109,0.6011,1500.0,14090.0,4241.0,2944.0
ViT-B,1,0.25,123,3,0.502575,55151.0,0.6703,0.6055,0.1349,0.5996,2507.0,11913.0,3214.0,1909.0
ViT-B,1,0.25,999,3,0.40585000000000004,50328.0,0.7049,0.5702,0.0962,0.2521,7779.0,8495.0,2698.0,845.0
ViT-B,2,0.25,42,3,0.301025,51995.0,0.3137,0.4243,0.0967,0.3694,11671.0,7993.0,4116.0,2373.0
ViT-B,2,0.25,123,3,0.29274999999999995,48912.0,0.3072,0.4542,0.0346,0.375,8568.0,6706.0,2373.0,1612.0
