model,ratio,seed,n_videos,macro_f1,total_frames,wing_f1,circle_f1,cop_f1,wing_fr,circle_fr,cop_fr
Swin-T,1.0,,12,0.7176666666666667,107517.0,0.91,0.558,0.685,48118.0,696.0,27826.0
Swin-T,0.75,123.0,9,0.7038666666666668,80640.0,0.895,0.4604,0.7562,30919.0,395.0,25976.0
Swin-T,0.75,42.0,9,0.6278333333333334,80638.0,0.8896,0.5784,0.4155,31603.0,371.0,23978.0
Swin-T,0.75,999.0,9,0.6920000000000001,80643.0,0.9029,0.5737,0.5994,42149.0,621.0,12172.0
Swin-T,0.5,123.0,6,0.6655,53761.0,0.9005,0.4426,0.6534,20866.0,265.0,18579.0
Swin-T,0.5,42.0,6,0.6760666666666667,53758.0,0.888,0.4545,0.6857,21349.0,223.0,16581.0
Swin-T,0.5,999.0,6,0.5455,53745.0,0.8761,0.5512,0.2092,28027.0,467.0,3848.0
Swin-T,0.25,123.0,3,0.3431999999999999,26883.0,0.8713,0.1583,0.0,8131.0,112.0,8257.0
Swin-T,0.25,42.0,3,0.2916666666666667,26879.0,0.8634,0.0,0.0116,8985.0,44.0,7320.0
Swin-T,0.25,999.0,3,0.4286333333333333,26877.0,0.8282,0.4577,0.0,11051.0,169.0,0.0
ViT-B,1.0,,12,0.7290000000000001,107517.0,0.911,0.534,0.742,48118.0,696.0,27826.0
ViT-B,0.75,123.0,9,0.6857666666666665,80640.0,0.8972,0.4338,0.7263,30919.0,395.0,25976.0
ViT-B,0.75,42.0,9,0.6704,80638.0,0.8855,0.6038,0.5217,31603.0,371.0,23978.0
ViT-B,0.75,999.0,9,0.6799666666666666,80643.0,0.8939,0.4856,0.6604,42149.0,621.0,12172.0
ViT-B,0.5,123.0,6,0.6751666666666667,53761.0,0.8888,0.4465,0.6902,20866.0,265.0,18579.0
ViT-B,0.5,42.0,6,0.6665,53758.0,0.8741,0.4804,0.6451,21349.0,223.0,16581.0
ViT-B,0.5,999.0,6,0.6265333333333333,53745.0,0.8923,0.555,0.4323,28027.0,467.0,3848.0
ViT-B,0.25,123.0,3,0.5262666666666668,26883.0,0.8656,0.1269,0.5863,8131.0,112.0,8257.0
ViT-B,0.25,42.0,3,0.3203,26879.0,0.8516,0.0,0.1092,8985.0,44.0,7320.0
ViT-B,0.25,999.0,3,0.4271666666666667,26877.0,0.8625,0.419,0.0,11051.0,169.0,0.0
