condition,n_videos,macro_f1,aggression,investigation,allogroom,standing,vseed
K400_pretrained,6,0.3587,0.3473,0.3635,0.0159,0.7081,-
K400_pretrained,3,0.292325,0.2348,0.2378,0,0.6967,42
K400_pretrained,3,0.31135,0.2577,0.2913,0,0.6964,99
K400_pretrained,3,0.361275,0.4205,0.3509,0,0.6737,999
open_pretrained,6,0.38265,0.3244,0.3867,0.0955,0.724,-
open_pretrained,3,0.374375,0.2948,0.3643,0.1353,0.7031,99
open_pretrained,3,0.360775,0.33,0.4006,0.0012,0.7113,42
open_pretrained,3,0.445925,0.3866,0.4461,0.2648,0.6862,999
source_pretrained_target_finetune,6,0.468825,0.392,0.4779,0.2898,0.7156,-
source_pretrained_target_finetune,3,0.417025,0.2376,0.3945,0.3256,0.7104,99
source_pretrained_target_finetune,3,0.398925,0.2862,0.3798,0.2162,0.7135,42
source_pretrained_target_finetune,3,0.4762,0.3552,0.4462,0.3958,0.7076,999
zero_shot,0,0.382975,0.2632,0.4264,0.2497,0.5926,-
