condition,n_videos,macro_f1,wing_extension_f1,circle_f1,copulation_f1,vseed
K400_pretrained,12,0.729,0.911,0.534,0.742,-
K400_pretrained,9,0.6858,0.8972,0.4338,0.7263,123
K400_pretrained,9,0.6704,0.8855,0.6038,0.5217,42
K400_pretrained,9,0.68,0.8939,0.4856,0.6604,999
K400_pretrained,6,0.6752,0.8888,0.4465,0.6902,123
K400_pretrained,6,0.6665,0.8741,0.4804,0.6451,42
K400_pretrained,6,0.6265,0.8923,0.555,0.4323,999
K400_pretrained,3,0.5263,0.8656,0.1269,0.5863,123
K400_pretrained,3,0.3203,0.8516,0,0.1092,42
K400_pretrained,3,0.4272,0.8625,0.419,0,999
source_pretrained_target_finetune,9,0.7329,0.9016,0.5742,0.723,123
source_pretrained_target_finetune,9,0.7129,0.8932,0.6082,0.6373,999
source_pretrained_target_finetune,9,0.7708,0.906,0.6473,0.7591,42
source_pretrained_target_finetune,6,0.7152,0.895,0.5455,0.7051,123
source_pretrained_target_finetune,6,0.6933,0.8792,0.5124,0.6882,999
source_pretrained_target_finetune,6,0.751,0.8699,0.583,0.8001,42
source_pretrained_target_finetune,3,0.6158,0.8458,0.2832,0.7183,123
source_pretrained_target_finetune,3,0.5516,0.8367,0,0.8182,999
source_pretrained_target_finetune,3,0.6135,0.8702,0.4686,0.5016,42
zero_shot,0,0.5895,0.778,0,0.9904,-
source_pretrained_target_finetune,12,0.7604,0.9138,0.5841,0.7832,-
